__run_id,__done,problem,solution,Time,PACKAGE_ENERGY,CPU_USAGE_0_MEAN,CPU_USAGE_1_MEAN,CPU_USAGE_2_MEAN,CPU_USAGE_3_MEAN,CPU_USAGE_4_MEAN,CPU_USAGE_5_MEAN,CPU_USAGE_6_MEAN,CPU_USAGE_7_MEAN,CPU_USAGE_0_MEDIAN,CPU_USAGE_1_MEDIAN,CPU_USAGE_2_MEDIAN,CPU_USAGE_3_MEDIAN,CPU_USAGE_4_MEDIAN,CPU_USAGE_5_MEDIAN,CPU_USAGE_6_MEDIAN,CPU_USAGE_7_MEDIAN,USED_MEMORY_MEAN,USED_SWAP_MEAN,USED_MEMORY_MEDIAN,USED_SWAP_MEDIAN,USED_MEMORY_MAX,USED_SWAP_MAX
run_15_repetition_17,DONE,median_array,human,263374,5287.358337402344,40.97855413918792,0.8763597434858632,11.098820646543604,0.2789409012280755,8.223718366420323,0.26148105608313504,40.61265090564676,0.3939006563745247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502977643.99393,2669136546.3793626,1511804928.0,2668814336.0,1561088000,2673008640
run_10_repetition_8,DONE,hourglass_sum,basic,224563,4497.9732666015625,60.45314730401565,1.2794791209740146,13.431300048726309,0.3725389356714975,11.30271201328875,0.22921769686865212,15.75016180306567,0.4236088617840696,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8335501698.27758,2665472233.2241993,8965287936.0,2665406464.0,8969678848,2666717184
run_7_repetition_15,DONE,array_manipulation,basic,352408,5841.5655517578125,10.003328169467297,3.9911146085504368,8.41155495429945,14.28035643908089,3.3947509331792443,3.6563531250285615,14.293619319923344,23.70951742349669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13973530146.559275,10483916416.65343,16313626624.0,11933786112.0,16431603712,19300990976
run_11_repetition_19,DONE,hourglass_sum,efficient,392454,7848.568664550781,1.38402580595478,0.8337421813183638,51.99326467514038,0.32827216219792726,0.3333709301902394,0.2581958476827877,47.91849302723283,0.5450057057901967,0.0,0.0,100.0,0.0,0.0,0.0,3.4482758045196533,0.0,8444346182.29241,2753993531.3377485,8812912640.0,2751524864.0,9003573248,2776428544
run_10_repetition_12,DONE,hourglass_sum,basic,229551,4582.2083740234375,1.4346135469806827,0.4646954129736148,30.328186162146825,0.35808703835058253,0.35769461464944147,0.29764854275111635,69.74065931534331,0.7851912682734955,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8396810095.624021,2695415553.1140122,9010712576.0,2695163904.0,9028157440,2704863232
run_13_repetition_17,DONE,largest_rectangle,basic,228740,4582.885559082031,1.4241279964363731,0.4357423694893783,0.4461130895989431,36.357859728117695,0.18235922442773544,0.4713508535160248,0.3224814446211902,63.559682258456036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1723312952.565939,2687413828.4157205,1716563968.0,2687037440.0,2208047104,2689396736
run_15_repetition_8,DONE,median_array,human,268584,5365.814392089844,17.57071673586255,1.340042963269211,19.305410618583362,0.39963955538613455,1.1676741625581468,13.715427807044415,48.736180957229365,0.4004490031372933,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,1624886820.5714285,2686473167.2380953,1629757440.0,2686513152.0,1688272896,2686775296
run_7_repetition_21,DONE,array_manipulation,basic,354008,5877.920715332031,8.208244890227014,2.936347497243251,3.339368452936966,26.733688946028742,7.9725127610562545,3.966599956331517,16.998021686905055,11.454461697869755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13978695172.336533,10525055999.421795,16300404736.0,11936948224.0,16431534080,19327340544
run_10_repetition_15,DONE,hourglass_sum,basic,226756,4573.09033203125,1.3673322860364872,0.7298733816272887,0.4079431634642479,28.694756109598973,0.18544157591160174,0.1705593495642036,0.23987125321106764,71.29164320991953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8195230105.6,2844909791.7462554,8813875200.0,2844262400.0,8831553536,2859728896
run_5_repetition_8,DONE,closest_numbers,efficient,54827,1007.1018676757521,15.238754849503005,2.204112495201221,0.7170656401178112,11.49955167632172,6.201063368631446,5.261772656786269,27.10708553203638,15.710452833037445,4.761904716491699,0.0,0.0,0.0,0.0,0.0,15.789472579956056,0.0,14689284689.623188,12016961298.550724,16331143168.0,14264846336.0,16440987648,17317715968
run_7_repetition_10,DONE,array_manipulation,basic,352243,5898.745300292998,22.685187197164563,2.5950218129239206,3.622094440947326,24.36939845372004,6.401166288184253,1.9551505782682699,4.7442238623113555,17.909267440421356,4.761904716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13914140895.164585,10526400507.350739,16290041856.0,11933341696.0,16431497216,19327344640
run_3_repetition_1,DONE,closest_numbers,human,65036,1357.0238037109084,39.096752526198685,17.97542605706311,9.434546295655977,15.829346949171947,8.225372541935071,7.975024604651542,30.089843569910126,32.919959322028205,28.571430206298828,5.0,0.0,0.0,0.0,0.0,0.0,26.3157901763916,15016198056.318043,14391846730.373089,16390852608.0,17482670080.0,16452132864,19327344640
run_17_repetition_0,DONE,median_array,efficient,1802,33.877807617216604,1.4947278282859109,30.606060895052824,0.6269592371853915,0.9090909090909091,1.6450216986916282,1.2121212699196555,48.24600726907904,0.8658008575439453,0.0,10.714285850524902,0.0,0.0,0.0,0.0,42.85714340209961,0.0,1234545943.2727273,2914435816.7272725,1236250624.0,2913935360.0,1329016832,2915246080
run_2_repetition_20,DONE,fibonacci_modified,efficient,608000,11238.485961914033,38.602306835667086,0.7334338245423216,27.286727565997527,0.2714552794632159,5.543117212464935,0.28206168632758294,29.6681165408147,0.24196855598374417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477557254.7368422,2878817612.8,1506598912.0,2876186624.0,1624907776,2912362496
run_8_repetition_2,DONE,array_manipulation,efficient,338010,5958.510986328154,19.60124068581656,1.73621006931235,2.1867378626540876,8.217008719001559,14.612569878610332,11.575385611836971,15.049645580672992,11.019054040903173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14076625673.537552,9241053400.790066,16308301824.0,11147382784.0,16419368960,13031419904
